Environment,SarCategory,Response,date,LocationFindLocationLatitude,LocationFindLocationLongitude
Land,Cat1,SAROP,2010-12-01,-36.968684,174.456282
Land,Cat1,SAROP,2011-01-01,-36.28333384,174.8166619
Marine,Cat1,SAROP,2014-06-01,-41.2907618,173.2174825
Land,Cat1,SAROP,2013-02-01,-38.14735102,176.2400525
Marine,Cat1,SAROP,2016-07-01,-36.767639,174.765688
Marine,Cat1,SAROP,2015-01-01,-41.233181,174.89968
Land,Cat1,SAROP,2014-08-01,-39.3160504,174.0741685
Land,Cat1,SAROP,2018-10-01,-37.3764591,175.6812185
Land,Cat1,SAROP,2013-01-01,-43.49097989,172.7225822
Marine,Cat1,SAROP,2011-02-01,-41.35378535,174.8495292
Land,Cat1,SAROP,2014-11-01,-37.787214,175.276119
Land,Cat1,SAROP,2012-10-01,-37.06660206,175.0889987
Land,Cat1,SAROP,2017-09-01,-36.94911,174.666213
Land,Cat1,SAROP,2013-05-01,-43.49419256,172.6028923
Marine,Cat1,SAROP,2011-01-01,-40.32566553,175.2001679
Land,Cat1,SAROP,2012-08-01,-45.75135188,170.3257123
Land,Cat1,SAROP,2012-11-01,-43.56723778,172.6419151
Land,Cat1,SAROP,2011-05-01,-43.15660801,172.7601753
Land,Cat1,SAROP,2018-06-01,-34.99382,173.502406
Marine,Cat1,SAROP,2016-09-01,-36.9366652,175.1605011
Land,Cat1,SAROP,2015-12-01,-36.922201,174.726734
Land,Cat1,SAROP,2011-07-01,-35.10340478,173.4783235
Land,Cat1,SAROP,2015-01-01,-40.912434,175.005572
Land,Cat1,SAROP,2015-03-01,-37.1662759,175.3165827
Land,Cat1,SAROP,2015-01-01,-39.28512,175.567136
Land,Cat1,SAROP,2016-08-01,-36.8600856,174.7242591
Marine,Cat1,SAROP,2014-12-01,-41.3053314,174.8515035
Land,Cat1,SAROP,2011-05-01,-36.303419,174.80396
Land,Cat1,SAROP,2016-01-01,-37.632557,176.187112
Land,Cat1,SAROP,2015-10-01,-36.996686,175.850159
Land,Cat1,SAROP,2013-11-01,-39.2585875,175.5715358
Land,Cat1,SAROP,2016-08-01,-36.930243,174.6702518
Land,Cat1,SAROP,2018-04-01,-45.347633,168.598468
Land,Cat1,SAROP,2012-11-01,-45.6527855,167.6606894
Marine,Cat1,SAROP,2014-02-01,-36.5975534,174.707364
Land,Cat1,SAROP,2015-04-01,-41.523879,173.244519
Land,Cat2,SAROP,2015-03-01,-44.517831,168.2666686
Land,Cat1,SAROP,2012-02-01,-36.86454209,174.9012483
Land,Cat1,SAROP,2018-01-01,-45.906316,170.522957
Land,Cat1,SAROP,2012-02-01,-38.15198379,176.2578733
Marine,Cat1,SAROP,2014-07-01,-37.013225,174.956511
Land,Cat1,SAROP,2013-02-01,-43.8729536,172.3005172
Land,Cat1,SAROP,2012-11-01,-44.55752442,174.9254393
Land,Cat1,SAROP,2011-08-01,-37.0247539,175.9469046
Land,Cat1,SAROP,2019-01-01,-36.9051844,174.6773711
Land,Cat1,SAROP,2013-02-01,-37.50670036,175.8428254
Land,Cat1,SAROP,2018-01-01,-37.63126,176.179648
Land,Cat1,SAROP,2019-03-01,-39.086944,175.652222
